區段,子分類,群組代碼,群組名稱(繁),位置,OEM編號,替換件,數量,名稱(繁中),名稱(English),名稱(Français),圖檔
机械 Mécanique,管路,K9PP448A50A,"制動管路, 選裝ABS",01,98 113 783 80,,01,2個制動管總成,SET OF 2 BRAKE PIPES,ENS 2 TUYAUX FREINS,K9PP448A50A.jpg
机械 Mécanique,管路,K9PP448A50A,"制動管路, 選裝ABS",03,98 282 037 80,,01,後製動軟管,BRAKE HOSE REAR,FLEXIBLE DE FREIN ARRIERE,K9PP448A50A.jpg
机械 Mécanique,管路,K9PP448A50A,"制動管路, 選裝ABS",04,98 082 575 80,,01,制動主缸連線管路,BRAKE CYLINDER CONNECTING TUBE,TUBE LIAISON CYLINDRES FREIN,K9PP448A50A.jpg
机械 Mécanique,管路,K9PP448A50A,"制動管路, 選裝ABS",05,98 150 796 80,,01,後製動管路帶軟管,PIPE WITH REAR BRAKE UNIONS,TUBE AVEC RACCORDS DE FREIN AR,K9PP448A50A.jpg
机械 Mécanique,管路,K9PP448A50A,"制動管路, 選裝ABS",06,96 763 461 80,,01,前制動軟管,BRAKE HOSE FRONT,FLEXIBLE DE FREIN AVANT,K9PP448A50A.jpg
机械 Mécanique,管路,K9PP448A50A,"制動管路, 選裝ABS",70,6936 19,RP 4503 43,02/01,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP448A50A.jpg
机械 Mécanique,管路,K9PP448A50A,"制動管路, 選裝ABS",73,98 021 863 80,,06,帶彈性墊片六角頭螺栓,H RCN SCREW,VIS H RCN,K9PP448A50A.jpg
机械 Mécanique,管路,K9PP448A75A,制動管路固定件,01,4815 25,,01,管固定卡,PIPE FASTENER CLIP,AGRAFE DE FIX TUYAU,K9PP448A75A.jpg
机械 Mécanique,管路,K9PP448A75A,制動管路固定件,02,16 113 855 80,,02,支撐夾,SUPPORT CLIP,AGRAFE SUPPORT,K9PP448A75A.jpg
机械 Mécanique,管路,K9PP448A75A,制動管路固定件,03,4814 Y6,,03,(MUL)卡扣,(MUL) CLIP,(MUL) AGRAFE,K9PP448A75A.jpg
机械 Mécanique,管路,K9PP448A75A,制動管路固定件,04,4815 35,,02,管固定卡,PIPE FASTENER CLIP,AGRAFE DE FIX TUYAU,K9PP448A75A.jpg
机械 Mécanique,管路,K9PP448A75A,制動管路固定件,05,96 744 603 80,,05,管固定卡,PIPE FASTENER CLIP,AGRAFE DE FIX TUYAU,K9PP448A75A.jpg
机械 Mécanique,管路,K9PP448A75A,制動管路固定件,06,96 745 187 80,,02,管固定卡,PIPE FASTENER CLIP,AGRAFE DE FIX TUYAU,K9PP448A75A.jpg
机械 Mécanique,管路,K9PP448A75A,制動管路固定件,07,4815 36,,02,管固定卡,PIPE FASTENER CLIP,AGRAFE DE FIX TUYAU,K9PP448A75A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,01,16 231 588 80,,01,新缸蓋,NEW CYLINDER HEAD,CULASSE NEUVE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,02,98 276 227 80,,01,機油蒸汽分離器,OIL VAPOR REMOVER,DESHUILEUR DE VAPEUR D’HUILE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,03,16 381 593 80,,01,油汽分離器密封件,OIL SEPARATOR SEAL,JOINT DE DESHUILEUR,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,04,1180 S5,,01,發動機油加註口蓋,ENGINE OIL FILLER PLUG,BOUCHON REMPLISSAGE HUILE MOT,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,05,98 244 936 80,,01,氣缸墊,CYLINDER HEAD GASKET,JOINT DE CULASSE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,06,0205 57,,10,缸蓋螺栓,CYLINDER HEAD BOLT,VIS DE CULASSE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,07,96 448 622 80,,10,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,08,98 249 975 80,RP 98 445 793 80,01/01,單向閥,NON-RETURN VALVE,CLAPET ANTIRETOUR,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,09,0234 42,,02,缸蓋碗形堵蓋,WELL CAP ON CYLINDER HEAD,BOUCHON CUVETTE SUR CULASSE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,10,0217 07,,03,汽缸蓋機油槽閥門止動球,CYL HEAD OIL PIPE CLOSING BALL,BILLE OBTUR CANAL HUIL CULASS,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,11,1011 16,,08,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,12,98 173 808 80,RP 16 844 499 80,04/10,發動機噴油嘴密封圈,ENGINE INJECTOR SEAL,JOINT D’INJECTEUR MOTEUR,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,17,96 448 622 80,,20,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,20,98 126 472 80,,01,凸輪軸軸承箱體總成,CAMSHAFT BEARING HOUSING ASSBY,CARTER PALIER ARBRE CAME ENS,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,27,3111 27,,01,(MUL)堵塞,(MUL) PLUG,(MUL) BOUCHON,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,71,6968 51,,02,(MUL) 銷子,(MUL) PIN,(MUL) GOUPILLE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,72,6968 42,,02,(MUL) 銷子,(MUL) PIN,(MUL) GOUPILLE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP002A55A,氣缸蓋-罩,75,6968 51,,02,(MUL) 銷子,(MUL) PIN,(MUL) GOUPILLE,K9PP002A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,01,98 141 524 80,,08,進氣閥,INTAKE VALVE,SOUPAPE D’ADMISSION,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,02,98 424 674 80,,08,排氣閥,EXHAUST VALVE,SOUPAPE D’ECHAPPEMENT,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,03,98 100 557 80,RP 16 922 874 80,08/01,發動機氣門杆密封墊,ENGINE VALVE STEM SEAL,JOINT DE QUEUE DE SOUPAPE MOT,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,04,0952 C4,RP 65 005 311 80,08/01,氣閥彈簧,VALVE SPRING,RESSORT DE SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,05,0951 52,,08,氣門彈簧座,VALVE SPRING WELL,CUVETTE DE RESSORT DE SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,06,0950 22,,16,氣閥鎖塊,VALVE HALF-CONE,DEMI-CONE DE SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,07,98 101 441 80,RP 16 922 870 80,16/01,氣門搖臂,VALVE CONTROL ROCKER,LINGUET CDE SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,08,98 199 175 80,,16,氣門間隙調節挺柱,VLV CLEARANCE ADJUST BALL JNT,ROTULE RATTRAPAGE JEU SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,13,98 100 557 80,RP 16 922 874 80,08/01,發動機氣門杆密封墊,ENGINE VALVE STEM SEAL,JOINT DE QUEUE DE SOUPAPE MOT,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,14,0952 C4,RP 65 005 311 80,08/01,氣閥彈簧,VALVE SPRING,RESSORT DE SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,15,0951 52,,08,氣門彈簧座,VALVE SPRING WELL,CUVETTE DE RESSORT DE SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,缸蓋,K9PP009A55A,氣門 導管 搖臂機構,16,0950 22,,16,氣閥鎖塊,VALVE HALF-CONE,DEMI-CONE DE SOUPAPE,K9PP009A55A.jpg
机械 Mécanique,變速箱,K9PP222B45E,自動變速箱,01,98 279 622 80,,01,新自動變速箱,NEW AUTOMATIC TRANSFER BOX,BOITE-PONT AUTOMATIQ NE,K9PP222B45E.jpg
机械 Mécanique,變速箱,K9PP222B45E,自動變速箱,02,16 350 560 80,,01,(MKT)潤滑油,(MKT) OIL,(MKT) HUILE,K9PP222B45E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,01,98 028 188 80,,01,變速箱殼螺柱,GEARBOX HOUSING STUD,GOUJON DE CARTER BV,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,03,98 065 340 80,,01,自動變速箱機油液麵溢流道,AGB OIL-LEVEL OUTFALL,DEVERSOIR NIVEAU D’HUILE BVA,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,04,98 246 072 80,,01,自動變速箱殼體螺塞,CASING PLUG AGB,BOUCHON DE CARTER BVA,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,05,98 246 071 80,,01,自動變速箱堵塞密封圈,AUTOMATIC GEARBOX PLUG SEAL,JOINT DE BOUCHON BVA,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,06,98 246 073 80,,01,自動變速箱堵塞密封圈,AUTOMATIC GEARBOX PLUG SEAL,JOINT DE BOUCHON BVA,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,07,2208 49,,01,自動變速箱CQC塞子,AGB PLUG,BOUCHON CQC DE BVA,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,08,98 246 074 80,,01,變速箱堵蓋密封墊,GEAR-BOX PLUG GASKET,JOINT DE BOUCHON DE BV,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,70,6936 E1,,01,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E35E,液力變矩器殼體,71,6925 V0,,10,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP222E35E.jpg
机械 Mécanique,變速箱,K9PP222E57E,變速箱殼體和固定件,01,98 246 058 80,,01,自動變速箱機油分配器蓋,AGB OIL-DISTRIBUTOR COVER,COUVERCLE DISTRIBUT HUILE BVA,K9PP222E57E.jpg
机械 Mécanique,變速箱,K9PP222E57E,變速箱殼體和固定件,02,98 246 059 80,,10,凸緣六角頭螺栓,FLANGED TH SCREW,VIS TH EMBASE,K9PP222E57E.jpg
机械 Mécanique,變速箱,K9PP222E57E,變速箱殼體和固定件,03,98 246 060 80,,01,自動變速箱蓋板密封墊,AGB COVER SEAL,JOINT DE COUVERCLE DE BVA,K9PP222E57E.jpg
机械 Mécanique,變速箱,K9PP222E57E,變速箱殼體和固定件,04,98 277 476 80,,01,自動變速箱通風口,AUTOMATIC GEARBOX BREATHER,RENIFLARD DE BVA,K9PP222E57E.jpg
机械 Mécanique,變速箱,K9PP222E65F,變速箱殼體和固定件,01,98 246 143 80,,10,螺釘－堵塞,PLUG-SCREW,VIS-BOUCHON,K9PP222E65F.jpg
机械 Mécanique,變速箱,K9PP222E65F,變速箱殼體和固定件,02,98 246 073 80,,10,自動變速箱堵塞密封圈,AUTOMATIC GEARBOX PLUG SEAL,JOINT DE BOUCHON BVA,K9PP222E65F.jpg
机械 Mécanique,變速箱,K9PP222G35E,自動變速箱的機油散熱器-交換器,01,98 277 475 80,,01,自動變速箱油水熱交換器,AGBX OIL/COOLANT EXCHANGER,ECHANGEUR EAU HUILE DE BVA,K9PP222G35E.jpg
机械 Mécanique,變速箱,K9PP222G35E,自動變速箱的機油散熱器-交換器,02,98 065 339 80,,03,自動變速箱油水熱交換器螺栓,BVA OIL/COOLANT EXCHANGER BOLT,VIS ECHANGEUR EAU HUILE BVA,K9PP222G35E.jpg
机械 Mécanique,變速箱,K9PP222G35E,自動變速箱的機油散熱器-交換器,03,98 065 338 80,,02,自動變速箱油水熱交換器密封墊,AGBX COOLANT/OIL EXCHNGR SEAL,JOINT ECHANGEUR EAU HUILE BVA,K9PP222G35E.jpg
机械 Mécanique,變速箱,K9PP223F03E,機油泵,01,98 277 470 80,RP 98 261 136 80,01/01,自動變速箱刃口密封墊,AUTOM GEAR-BOX SEAL,JOINT A LEVRE DE BVA,K9PP223F03E.jpg
机械 Mécanique,變速箱,K9PP223F03E,機油泵,02,98 261 137 80,,01,變速箱機油泵襯墊,GEAR-BOX OIL PUMP GASKET,JOINT DE POMPE A HUILE DE BV,K9PP223F03E.jpg
机械 Mécanique,變速箱,K9PP223F03E,機油泵,03,16 290 587 80,,01,變速箱機油泵襯墊,GEAR-BOX OIL PUMP GASKET,JOINT DE POMPE A HUILE DE BV,K9PP223F03E.jpg
机械 Mécanique,變速箱,K9PP225C05E,BVA液壓單元,01,98 277 473 80,,01,自動變速箱液壓塊,AGBX HYDRAULIC UNIT,BLOC HYDRAULIQUE BVA,K9PP225C05E.jpg
机械 Mécanique,變速箱,K9PP225C05E,BVA液壓單元,02,2579 67,,10,變速箱殼凸緣螺栓,GEARBOX HOUSING FLANGED BOLT,VIS A EMBASE DE CARTER BV,K9PP225C05E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,01,98 277 474 80,,01,電氣線束聯結器,ELECTRICAL HARNESS CONNECTOR,CONNECTEUR DE FAISCEAU ELECT,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,02,98 065 336 80,,01,自動變速箱固定夾,RETAINING CLIP,CLIP DE MAINTIEN DE BVA,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,03,98 065 333 80,,01,自動變速箱O型密封圈,AUTOMATIC GEARBOX O-RING SEAL,JOINT TORIQUE BVA,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,04,98 261 142 80,,01,速度輸入感測器,SENSOR ENTRY,CAPTEUR ENTREE VITESSE,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,06,98 261 144 80,,01,自動變速箱TORX方頭螺釘,AUTOMATIC GEARBOX TC TRX SCREW,VIS TC TORX DE BVA,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,07,98 065 335 80,,01,模組線束密封圈,BLOCK HARNESS SEAL,JOINT ETANCHEITE FAISCEAU BLOC,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,08,98 261 138 80,,02,模組線束密封圈,BLOCK HARNESS SEAL,JOINT ETANCHEITE FAISCEAU BLOC,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,09,98 261 139 80,,01,模組線束密封圈,BLOCK HARNESS SEAL,JOINT ETANCHEITE FAISCEAU BLOC,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,10,98 246 067 80,,01,止動器,RETAINER,ARRETOIR,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,11,98 246 068 80,,01,凸緣六角頭螺栓,FLANGED TH SCREW,VIS TH EMBASE,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,12,98 246 145 80,RP 98 069 176 80,01/01,凸緣六角頭螺栓,FLANGED TH SCREW,VIS TH EMBASE,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,13,98 246 143 80,,01,螺釘－堵塞,PLUG-SCREW,VIS-BOUCHON,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,14,98 246 061 80,,01,自動變速箱液壓模組電磁閥,AGBX HYDRAULIC BLOCK SOLENOID,SOLENOIDE BLOC HYDRAULIQUE BVA,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,15,98 246 062 80,,01,自動變速箱六角頭螺栓,AUTOMATIC GEARBOX TH SCREW,VIS TH DE BVA,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C35E,液壓單元線束,16,98 261 143 80,,01,速度輸出感測器,SENSOR 2 WAY OUTLET,CAPTEUR SORTIE VITESSE,K9PP225C35E.jpg
机械 Mécanique,變速箱,K9PP225C60E,電控盒,01,16 373 091 80,,01,自動變速箱電控單元,AUTOMATIC GEARBOX ECU,CALCULATEUR ELECTRONIQUE BVA,K9PP225C60E.jpg
机械 Mécanique,變速箱,K9PP225C60E,電控盒,02,6923 G6,,03,(MUL)六角頭帶墊圈螺栓,(MUL) TH SCREW WITH WASHER,(MUL) VIS TH RDL,K9PP225C60E.jpg
机械 Mécanique,變速箱,K9PP225C60E,電控盒,03,6555 JJ,,01,繼電器,RELAY,RELAIS,K9PP225C60E.jpg
机械 Mécanique,變速箱,K9PP225C60E,電控盒,04,2210 73,,01,MUL RLX螺栓,(MUL) RLX SCREW,(MUL) VIS RLX,K9PP225C60E.jpg
机械 Mécanique,變速箱,K9PP331A90E,前差速器,01,98 246 057 80,,01,自動變速箱刃口密封墊,AUTOM GEAR-BOX SEAL,JOINT A LEVRE DE BVA,K9PP331A90E.jpg
机械 Mécanique,變速箱,K9PP331A90E,前差速器,02,98 277 472 80,,01,自動變速箱刃口密封墊,AUTOM GEAR-BOX SEAL,JOINT A LEVRE DE BVA,K9PP331A90E.jpg
机械 Mécanique,變速箱控制裝置,K9PP224D05A,強制降檔拉線,01,2575 25,,01,自動變速箱矩形密封墊,AGB RECTANGULAR SEAL,JOINT A SECTION RECTANGLE BVA,K9PP224D05A.jpg
机械 Mécanique,變速箱控制裝置,K9PP224D56A,自動變速箱控制桿,01,98 093 147 ZD,,01,電子變速換擋控制器,ELECTRIC GEAR CONTROL,COMMANDE DE VITESSE ELECTRIQUE,K9PP224D56A.jpg
机械 Mécanique,變速箱控制裝置,K9PP224D56A,自動變速箱控制桿,05,98 108 215 ZD,,01,自動變速箱開關,AUTOMAT GEAR-BOX SWITCH,COMMUTATEUR BVA,K9PP224D56A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,01,98 241 399 80,,01,完整的踏板,TOE BOARD ASSY,PEDALIER COMPLET,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,03,98 241 381 80,,01,制動踏板,BRAKE PEDAL,PEDALE DE FREIN,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,05,96 755 039 80,RP 98 248 039 80,01/01,踏板墊,PEDAL COVER,COIFFE DE PEDALE,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,06,98 209 693 80,,01,踏板固定元件,PEDAL FIXING SET,JEU DE FIXATION PEDALE,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,11,98 135 031 80,,01,駐車開關,BRAKE LAMP SWITCH,CONTACTEUR DE STOP,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,12,98 027 235 80,,01,雙臂曲柄保護裝置,PROTECTOR,PROTECTEUR RENVOI PEDALIER,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,16,98 209 726 80,,01,制動助力器軸封,BRAKE SERVO SHAFT SEAL,JOINT D AXE AMPLIFICATEUR,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,70,4503 33,,09,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP445A55A.jpg
机械 Mécanique,踏板支架,K9PP445A55A,制動踏板 駕駛員擱腳板總成 觸點開關,71,6936 62,,03,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP445A55A.jpg
机械 Mécanique,車輪,K9PP554A10A,車輪,02,98 169 632 XS,,04,輕合金車輪,LIGHT ALLOY WHEEL,ROUE ALLIAGE LEGER,K9PP554A10A.jpg
机械 Mécanique,車輪,K9PP554A10A,車輪,15,98 170 245 80,,16,車輪螺栓,WHEEL MOUNTING SCREW,VIS DE FIXATION DE ROUE,K9PP554A10A.jpg
机械 Mécanique,車輪,K9PP554A10A,車輪,16,16 071 443 80,,01,防盜車輪拆卸扳手,WHEEL ANTI-THEFT REMOV KEY,CLE DEMONTE ANTIVOL ROUE,K9PP554A10A.jpg
机械 Mécanique,車輪,K9PP554A10A,車輪,17,16 074 052 XT,,20,車輪螺栓罩蓋,WHEEL NUT CAP,CABOCHON DE VIS DE ROUE,K9PP554A10A.jpg
机械 Mécanique,車輪,K9PP554A10A,車輪,20,5404 01,,05,車輪氣門嘴,COMPLETE WHEEL VALVE,VALVE COMPLETE DE ROUE,K9PP554A10A.jpg
机械 Mécanique,車輪,K9PP554A10A,車輪,21,5404 02,,05,車輪氣門嘴蓋,WHEEL VALVE CAP,BOUCHON VALVE DE ROUE,K9PP554A10A.jpg
机械 Mécanique,車輪,K9PP554A60A,車輪徽標蓋,04,5421 89,,04,車輪中心裝飾蓋,WHEEL BADGE CAP,CABOCHON DE ROUE,K9PP554A60A.jpg
机械 Mécanique,車輪,K9PP554A85A,備用車輪和千斤頂元件,01,98 268 784 ZY,,01,附件組備胎,SPARE WHEEL FOR ACC KIT,ROUE SECOURS POUR KIT ACC,K9PP554A85A.jpg
机械 Mécanique,車輪,K9PP554A85A,備用車輪和千斤頂元件,05,98 139 330 80,,01,附件組備胎架,SP WHL CARRIER FOR ACC KIT,BERCEAU R/S POUR KIT ACC,K9PP554A85A.jpg
机械 Mécanique,車輪,K9PP554A85A,備用車輪和千斤頂元件,10,16 770 967 80,,01,附件組備胎工具,SP WHL TOOLS FOR ACC KIT,OUTILLAGE R/S POUR KIT ACC,K9PP554A85A.jpg
机械 Mécanique,車輪,K9PP554B10A,車輪平衡塊,01,5435 K7,,01,車輪平衡塊,WHEEL BALANCING WEIGHT,MASSE EQUILIBRAGE DE ROUE,K9PP554B10A.jpg
机械 Mécanique,車輪,K9PP554B10A,車輪平衡塊,02,98 164 182 80,,01,車輪平衡塊,WHEEL BALANCING WEIGHT,MASSE EQUILIBRAGE DE ROUE,K9PP554B10A.jpg
机械 Mécanique,車輪,K9PP776A01A,備胎架,01,98 164 862 80,,01,備胎支架,SPARE WHEEL SUPPORT,APPUI ROUE DE SECOURS,K9PP776A01A.jpg
机械 Mécanique,車輪,K9PP776A01A,備胎架,02,98 206 568 80,,01,附件組備胎架,SP WHL CARRIER FOR ACC KIT,BERCEAU R/S POUR KIT ACC,K9PP776A01A.jpg
机械 Mécanique,車輪,K9PP776A01A,備胎架,03,96 879 344 80,,01,備胎托架固定螺栓,SPARE WHEEL SUPP FIXING BOLT,VIS FIX SUPPORT ROUE SECOURS,K9PP776A01A.jpg
机械 Mécanique,車輪,K9PP776A01A,備胎架,04,98 224 778 80,,01,備胎架固定鉤,SPARE WHEEL SUPPORT HOOK,CROCHET SUPPORT ROUE SECOURS,K9PP776A01A.jpg
机械 Mécanique,車輪,K9PP776A01A,備胎架,70,6939 97,,02,(MUL)帶墊圈螺母,(MUL) NUT WITH CAPTIVE WASHER,(MUL) ECROU AVEC RDL IMPDB,K9PP776A01A.jpg
机械 Mécanique,車輪,K9PP776A01A,備胎架,71,7615 54,,01,(MUL) 平墊圈,(MUL) FLAT WASHER,(MUL) RONDELLE PLATE,K9PP776A01A.jpg
机械 Mécanique,車輪,K9PP776A50A,千斤頂,02,98 185 164 80,,01,車輪扳手,WHEEL BRACE,CLE DE ROUE,K9PP776A50A.jpg
机械 Mécanique,車輪,K9PP776A50A,千斤頂,03,98 202 929 80,,01,千斤頂盒,LIFTING JACK BOX,BOITE A CRIC DE LEVAGE,K9PP776A50A.jpg
机械 Mécanique,車輪,K9PP776A50A,千斤頂,04,6718 09,,01,備胎墊塊,SPARE WHEEL SHIM,CALE ROUE SECOURS,K9PP776A50A.jpg
机械 Mécanique,車輪,K9PP776A50A,千斤頂,05,6717 59,,01,燈泡檢修口拆卸工具,BULB ACCESS REMOVAL TOOL,OUTIL DEMONTAGE ACCES LAMPE,K9PP776A50A.jpg
机械 Mécanique,車輪,K9PP776A50A,千斤頂,06,96 759 710 80,,01,牽引環,TOWING EYE,ANNEAU REMORQUAGE,K9PP776A50A.jpg
机械 Mécanique,車輪,K9PP776A50A,千斤頂,10,6717 45,,01,車輪裝飾罩拆卸工具,HUBCAP REMOVER,DEMONTE ENJOLIVEUR DE ROUE,K9PP776A50A.jpg
机械 Mécanique,車輪,K9PP876A60A,千斤頂,04,6718 09,,01,備胎墊塊,SPARE WHEEL SHIM,CALE ROUE SECOURS,K9PP876A60A.jpg
机械 Mécanique,輪胎,K9PP554D01A,輪胎,01,98 264 296 80,,04,夏季旅行輪胎,TOURING SUMMER TYRE,PNEU TOURISME ETE,K9PP554D01A.jpg
机械 Mécanique,轉向柱,K9PP441C05A,轉向柱及支架,01,98 204 605 ZD,,01,轉向柱,STEERING COLUMN,COLONNE DE DIRECTION,K9PP441C05A.jpg
机械 Mécanique,轉向柱,K9PP441C05A,轉向柱及支架,02,4105 62,,01,轉向萬向節螺栓,STEERING UNIVERSAL JOINT BOLT,VIS DE CARDAN DE DIRECTION,K9PP441C05A.jpg
机械 Mécanique,轉向柱,K9PP441C05A,轉向柱及支架,03,96 742 071 80,,01,轉向柱密封罩,STEERING COLUMN SEAL,JOINT DE COLONNE DE DIRECTION,K9PP441C05A.jpg
机械 Mécanique,轉向柱,K9PP441C05A,轉向柱及支架,70,98 021 863 80,,02,帶彈性墊片六角頭螺栓,H RCN SCREW,VIS H RCN,K9PP441C05A.jpg
机械 Mécanique,轉向柱,K9PP441C05A,轉向柱及支架,71,6939 C2,,01,(MUL) 自鎖螺帽,(MUL) SELF-LOCKING NUT,(MUL) ECROU AUTOFREINE,K9PP441C05A.jpg
机械 Mécanique,轉向柱,K9PP441C05A,轉向柱及支架,72,6936 80,,02,(MUL)帶墊圈螺母,(MUL) NUT WITH CAPTIVE WASHER,(MUL) ECROU AVEC RDL IMPDB,K9PP441C05A.jpg
